Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Small Organization,F,55.92,5,Servers for Large Businesses,
Big Organization,M,22.41,8,Workstations for Professional Use,
Personal Use,M,25.02,6,Laptop for Work,
Personal Use,M,36.65,4,Laptop for Home,
Academic purpose,M,54.08,4,Gaming Laptop,
Personal Use,M,30.82,1,Desktops for Business,
Gaming Purpose,M,52.22,5,Servers for Small Businesses,
Academic purpose,F,40.1,7,Servers for Large Businesses,
Small Organization,M,58.01,9,Workstations for Professional Use,
Big Organization,M,55.73,9,Laptop for Work,
Personal Use,F,26.79,7,Laptop for Home,
Big Organization,M,21.99,7,Gaming Laptop,
Big Organization,F,37.28,7,Desktops for Business,
Gaming Purpose,M,57.42,1,Servers for Small Businesses,
Big Organization,F,59.38,6,Servers for Large Businesses,
Academic purpose,F,42.25,1,Workstations for Professional Use,
Academic purpose,F,24.25,4,Laptop for Work,
Small Organization,M,54.1,6,Laptop for Home,
Small organization,F,40.66,4,Gaming Laptop,
Gaming Purpose,F,52.94,8,Desktops for Business,
Small organization,M,55.55,2,Servers for Small Businesses,
Personal Use,F,24.32,5,Servers for Large Businesses,
Academic purpose,F,50.84,8,Workstations for Professional Use,
Small Organization,M,34.78,3,Laptop for Work,
Small organization,M,35.55,6,Laptop for Home,
Small organization,M,43.57,3,Gaming Laptop,
Big Organization,F,28.1,9,Desktops for Business,
Personal Use,M,55.61,6,Servers for Small Businesses,
Small Organization,F,28.91,10,Servers for Large Businesses,
Small Organization,M,30.69,10,Workstations for Professional Use,
Small Organization,F,22.18,8,Laptop for Work,
Big Organization,F,55.93,5,Laptop for Home,
Small Organization,M,46.04,2,Gaming Laptop,
Big Organization,F,40.44,9,Desktops for Business,
Big Organization,F,57.82,6,Servers for Small Businesses,
Personal Use,M,24.36,8,Servers for Large Businesses,
Personal Use,F,23.63,1,Workstations for Professional Use,
Personal Use,M,48.96,1,Laptop for Work,
Small Organization,F,37.25,7,Laptop for Home,
Small organization,M,56.18,7,Gaming Laptop,
Gaming Purpose,F,39.13,6,Desktops for Business,
Big Organization,F,51.28,9,Servers for Small Businesses,
Small Organization,M,32.76,5,Servers for Large Businesses,
Personal Use,M,21.81,10,Workstations for Professional Use,
Big Organization,M,57.24,7,Laptop for Work,
Big Organization,M,41.81,6,Laptop for Home,
Big Organization,M,33.12,7,Gaming Laptop,
Big Organization,F,54.28,2,Desktops for Business,
Small Organization,M,27.45,2,Servers for Small Businesses,
Personal Use,F,33.87,9,Servers for Large Businesses,
Small Organization,M,41.14,9,Workstations for Professional Use,
Personal Use,F,22.81,10,Laptop for Work,
Big Organization,M,59.51,7,Laptop for Home,
Small Organization,M,40.16,9,Gaming Laptop,
Personal Use,M,54.13,3,Desktops for Business,
Personal Use,M,59.22,7,Servers for Small Businesses,
Personal Use,M,52.91,6,Servers for Large Businesses,
Big Organization,F,53.27,10,Workstations for Professional Use,
Big Organization,F,44.41,3,Laptop for Work,
Big Organization,F,31.49,3,Laptop for Home,
Big Organization,F,28.44,7,Gaming Laptop,
Big Organization,M,26.18,8,Desktops for Business,
Small organization,M,56.85,9,Servers for Small Businesses,
Personal Use,M,31.23,4,Servers for Large Businesses,
Small Organization,M,30.64,2,Workstations for Professional Use,
Big Organization,M,47.78,4,Laptop for Work,
Small Organization,M,33.29,5,Laptop for Home,
Small organization,M,42.2,9,Gaming Laptop,
Gaming Purpose,M,30.32,2,Desktops for Business,
Academic purpose,F,50.31,3,Servers for Small Businesses,
Big Organization,M,27.12,9,Servers for Large Businesses,
Big Organization,M,37.8,9,Workstations for Professional Use,
Personal Use,M,22.04,10,Laptop for Work,
Personal Use,M,23.94,5,Laptop for Home,
Gaming Purpose,F,27.72,4,Gaming Laptop,
Big Organization,M,39.56,4,Desktops for Business,
Academic purpose,M,43.65,1,Servers for Small Businesses,
Academic purpose,M,36.21,6,Servers for Large Businesses,
Small Organization,M,58.02,7,Workstations for Professional Use,
Small organization,F,58.67,5,Laptop for Work,
Big Organization,F,39.76,6,Laptop for Home,
Big Organization,M,56.57,1,Gaming Laptop,
Big Organization,F,37.92,5,Desktops for Business,
Academic purpose,M,37.43,7,Servers for Small Businesses,
Small Organization,F,37.22,7,Servers for Large Businesses,
Gaming Purpose,M,53.82,4,Workstations for Professional Use,
Big Organization,M,37.88,8,Laptop for Work,
Big Organization,M,24.82,2,Laptop for Home,
Small Organization,F,47.68,10,Gaming Laptop,
Small Organization,M,54.7,10,Desktops for Business,
Academic purpose,M,25.34,9,Servers for Small Businesses,
Personal Use,F,39.93,10,Servers for Large Businesses,
Small Organization,F,48.04,4,Workstations for Professional Use,
Small Organization,F,46.32,3,Laptop for Work,
Small organization,M,40.29,10,Laptop for Home,
Academic purpose,M,52.5,7,Gaming Laptop,
Big Organization,F,38.97,2,Desktops for Business,
Academic purpose,M,34.65,9,Servers for Small Businesses,
Small organization,F,58.7,1,Servers for Large Businesses,
Small organization,M,41.41,7,Workstations for Professional Use,
Small Organization,F,25.38,4,Laptop for Work,
Personal Use,F,25.11,5,Laptop for Home,
Personal Use,F,51.07,6,Gaming Laptop,
Big Organization,F,53.19,4,Desktops for Business,
Big Organization,F,35.99,10,Servers for Small Businesses,
Small organization,M,41.96,2,Servers for Large Businesses,
Big Organization,M,40.93,8,Workstations for Professional Use,
Gaming Purpose,F,26.5,9,Laptop for Work,
Small organization,M,25.76,2,Laptop for Home,
Personal Use,M,30.88,6,Gaming Laptop,
Small Organization,F,46.31,8,Desktops for Business,
Small Organization,M,45.64,8,Servers for Small Businesses,
Small Organization,M,51.42,7,Servers for Large Businesses,
Academic purpose,M,34.44,1,Workstations for Professional Use,
Small organization,M,21.26,3,Laptop for Work,
Gaming Purpose,M,48.05,5,Laptop for Home,
Academic purpose,M,56.95,8,Gaming Laptop,
Small organization,F,55.57,1,Desktops for Business,
Academic purpose,M,31.35,7,Servers for Small Businesses,
Small organization,M,38.82,1,Servers for Large Businesses,
Big Organization,F,49.13,9,Workstations for Professional Use,
Personal Use,F,38.12,8,Laptop for Work,
Small Organization,M,39.14,5,Laptop for Home,
Personal Use,M,32.18,3,Gaming Laptop,
Small organization,F,38.97,3,Desktops for Business,
Small organization,F,42.34,5,Servers for Small Businesses,
Big Organization,M,40.75,2,Servers for Large Businesses,
Academic purpose,M,31.99,7,Workstations for Professional Use,
Small organization,F,22.27,10,Laptop for Work,
Academic purpose,F,30.33,5,Laptop for Home,
Small organization,F,46.28,2,Gaming Laptop,
Academic purpose,M,51.25,9,Desktops for Business,
Big Organization,F,38.08,10,Servers for Small Businesses,
Big Organization,F,41.61,1,Servers for Large Businesses,
Gaming Purpose,F,21.36,2,Workstations for Professional Use,
Academic purpose,F,53.62,7,Laptop for Work,
Small organization,F,32.24,8,Laptop for Home,
Gaming Purpose,M,56.6,6,Gaming Laptop,
Big Organization,F,23.63,8,Desktops for Business,
Small Organization,F,50.88,6,Servers for Small Businesses,
Small Organization,F,32.82,9,Servers for Large Businesses,
Small organization,M,55.07,7,Workstations for Professional Use,
Big Organization,M,27.25,7,Laptop for Work,
Big Organization,F,44.46,2,Laptop for Home,
Big Organization,F,52.68,6,Gaming Laptop,
Small organization,M,35.73,8,Desktops for Business,
Personal Use,M,59.41,2,Servers for Small Businesses,
Academic purpose,F,44.93,8,Servers for Large Businesses,
Small organization,F,30.94,6,Workstations for Professional Use,
Big Organization,M,35.64,6,Laptop for Work,
Big Organization,M,24.77,3,Laptop for Home,
Personal Use,M,52.49,3,Gaming Laptop,
Gaming Purpose,M,47.48,5,Desktops for Business,
Big Organization,F,32.78,1,Servers for Small Businesses,
Small organization,M,37.06,6,Servers for Large Businesses,
Academic purpose,M,37.5,4,Workstations for Professional Use,
Personal Use,M,30.47,9,Laptop for Work,
Small organization,F,43.5,6,Laptop for Home,
Small organization,M,48.49,5,Gaming Laptop,
Big Organization,M,37.95,4,Desktops for Business,
Academic purpose,F,48.8,1,Servers for Small Businesses,
Small organization,M,25.05,4,Servers for Large Businesses,
Small organization,M,25.3,1,Workstations for Professional Use,
Big Organization,F,22.97,3,Laptop for Work,
Small Organization,F,58.67,10,Laptop for Home,
Academic purpose,F,51.07,3,Gaming Laptop,
Small organization,F,45.24,9,Desktops for Business,
Big Organization,F,29.33,10,Servers for Small Businesses,
Small Organization,M,40.02,3,Servers for Large Businesses,
Big Organization,F,58.09,9,Workstations for Professional Use,
Academic purpose,F,44.08,7,Laptop for Work,
Big Organization,F,24.95,6,Laptop for Home,
Gaming Purpose,F,55.07,7,Gaming Laptop,
Small Organization,F,21.02,5,Desktops for Business,
Academic purpose,M,30.1,1,Servers for Small Businesses,
Big Organization,M,45.38,8,Servers for Large Businesses,
Big Organization,F,33.79,10,Workstations for Professional Use,
Small Organization,F,50.7,5,Laptop for Work,
Small organization,F,25.61,4,Laptop for Home,
Academic purpose,M,57.3,7,Gaming Laptop,
Small Organization,F,27.43,5,Desktops for Business,
Big Organization,F,23.3,7,Servers for Small Businesses,
Academic purpose,F,47.41,3,Servers for Large Businesses,
Gaming Purpose,F,56.06,7,Workstations for Professional Use,
Small organization,M,33.01,9,Laptop for Work,
Gaming Purpose,M,28.92,1,Laptop for Home,
Small Organization,M,48.35,3,Gaming Laptop,
Personal Use,M,46.13,6,Desktops for Business,
Gaming Purpose,M,51.78,6,Servers for Small Businesses,
Big Organization,M,40.06,3,Servers for Large Businesses,
Small organization,F,53.75,4,Workstations for Professional Use,
Big Organization,M,21.63,3,Laptop for Work,
Gaming Purpose,F,30.81,4,Laptop for Home,
Big Organization,F,48.07,6,Gaming Laptop,
Gaming Purpose,M,24.99,10,Desktops for Business,
Big Organization,M,24.81,2,Servers for Small Businesses,
Small Organization,F,38.39,1,Servers for Large Businesses,
Small Organization,M,43.73,8,Workstations for Professional Use,
Gaming Purpose,M,34.95,3,Laptop for Work,
Academic purpose,F,48.58,2,Laptop for Home,
Small Organization,F,49.59,7,Gaming Laptop,
Big Organization,M,36.69,1,Desktops for Business,
Small organization,F,53.52,2,Servers for Small Businesses,
Big Organization,F,55.96,6,Servers for Large Businesses,
Big Organization,F,43.77,3,Workstations for Professional Use,
Academic purpose,F,36,3,Laptop for Work,
Big Organization,F,45.09,3,Laptop for Home,
Small organization,M,38.63,7,Gaming Laptop,
Small Organization,M,24.01,3,Desktops for Business,
Big Organization,M,30.58,10,Servers for Small Businesses,
Big Organization,M,27.11,9,Servers for Large Businesses,
Big Organization,M,36.42,1,Workstations for Professional Use,
Gaming Purpose,F,36.69,6,Laptop for Work,
Big Organization,F,47.78,8,Laptop for Home,
Gaming Purpose,M,50.51,2,Gaming Laptop,
Small Organization,M,39.79,3,Desktops for Business,
Small Organization,M,34.94,9,Servers for Small Businesses,
Small organization,F,55.8,1,Servers for Large Businesses,
Academic purpose,M,24.25,10,Workstations for Professional Use,
Small Organization,F,48.33,5,Laptop for Work,
Small organization,M,54.17,5,Laptop for Home,
Gaming Purpose,M,22.25,7,Gaming Laptop,
Big Organization,M,46.79,9,Desktops for Business,
Small organization,F,51.28,10,Servers for Small Businesses,
Big Organization,F,36.55,10,Servers for Large Businesses,
Gaming Purpose,M,50.64,9,Workstations for Professional Use,
Big Organization,M,35.62,4,Laptop for Work,
Small organization,F,47.03,8,Laptop for Home,
Small Organization,M,45.49,6,Gaming Laptop,
Personal Use,F,48.85,4,Desktops for Business,
Big Organization,M,58.75,3,Servers for Small Businesses,
Academic purpose,M,23.6,1,Servers for Large Businesses,
Gaming Purpose,M,51.21,7,Workstations for Professional Use,
Small Organization,M,21.65,2,Laptop for Work,
Personal Use,M,42.19,7,Laptop for Home,
Personal Use,F,56.15,4,Gaming Laptop,
Personal Use,M,28.16,3,Desktops for Business,
Small Organization,F,51.24,10,Servers for Small Businesses,
Big Organization,M,23.48,4,Servers for Large Businesses,
Gaming Purpose,F,53.49,8,Workstations for Professional Use,
Academic purpose,M,52.58,1,Laptop for Work,
Small organization,M,43.65,8,Laptop for Home,
Small Organization,F,54.18,5,Gaming Laptop,
Gaming Purpose,F,50.55,6,Desktops for Business,
Academic purpose,M,48.95,1,Servers for Small Businesses,
Small Organization,F,21.34,7,Servers for Large Businesses,
Big Organization,M,24.32,3,Workstations for Professional Use,
Big Organization,F,32.92,8,Laptop for Work,
Gaming Purpose,M,43.55,7,Laptop for Home,
Academic purpose,M,25.66,4,Gaming Laptop,
Academic purpose,F,33.02,10,Desktops for Business,
Small organization,F,34.34,2,Servers for Small Businesses,
Small Organization,M,27.88,5,Servers for Large Businesses,
Personal Use,M,58.35,3,Workstations for Professional Use,
Big Organization,F,56.85,9,Laptop for Work,
Personal Use,M,39.15,1,Laptop for Home,
Gaming Purpose,F,56.26,3,Gaming Laptop,
Gaming Purpose,M,23.01,5,Desktops for Business,
Big Organization,M,47.43,10,Servers for Small Businesses,
Big Organization,M,40.88,10,Servers for Large Businesses,
Academic purpose,M,31.22,4,Workstations for Professional Use,
Big Organization,M,56.67,3,Laptop for Work,
Academic purpose,M,28.89,6,Laptop for Home,
Small Organization,F,22.66,7,Gaming Laptop,
Big Organization,F,35.11,6,Desktops for Business,
Gaming Purpose,M,42.23,9,Servers for Small Businesses,
Personal Use,M,39.37,4,Servers for Large Businesses,
Academic purpose,F,54.79,8,Workstations for Professional Use,
Small Organization,M,37.5,3,Laptop for Work,
Gaming Purpose,F,56.99,3,Laptop for Home,
Academic purpose,M,33.53,10,Gaming Laptop,
Academic purpose,M,41.19,9,Desktops for Business,
Big Organization,F,31.75,9,Servers for Small Businesses,
Small organization,M,41.13,4,Servers for Large Businesses,
Big Organization,M,58.04,6,Workstations for Professional Use,
Personal Use,F,50.93,10,Laptop for Work,
Personal Use,F,54.47,7,Laptop for Home,
Big Organization,F,51.23,3,Gaming Laptop,
Small Organization,M,37.1,6,Desktops for Business,
Small organization,F,25.72,2,Servers for Small Businesses,
Small Organization,M,49.06,4,Servers for Large Businesses,
Small Organization,M,45.76,5,Workstations for Professional Use,
Big Organization,F,25.9,8,Laptop for Work,
Small Organization,M,33.41,6,Laptop for Home,
Personal Use,M,41.16,8,Gaming Laptop,
Small organization,F,21.57,9,Desktops for Business,
Academic purpose,M,35.18,10,Servers for Small Businesses,
Gaming Purpose,M,53.49,2,Servers for Large Businesses,
Personal Use,F,41.2,8,Workstations for Professional Use,
Big Organization,F,33.42,8,Laptop for Work,
Small Organization,M,50.67,2,Laptop for Home,
Big Organization,F,35.6,1,Gaming Laptop,
Academic purpose,F,24.85,3,Desktops for Business,
Big Organization,M,57.44,8,Servers for Small Businesses,
Big Organization,F,52.61,6,Servers for Large Businesses,
Big Organization,M,36,2,Workstations for Professional Use,
Personal Use,M,30.55,10,Laptop for Work,
Academic purpose,M,49.66,3,Laptop for Home,
Big Organization,M,35.28,5,Gaming Laptop,
Academic purpose,F,42.11,2,Desktops for Business,
Academic purpose,M,23.04,3,Servers for Small Businesses,
Personal Use,F,43.51,3,Servers for Large Businesses,
Small Organization,M,26.47,5,Workstations for Professional Use,
Small Organization,M,30.98,7,Laptop for Work,
Small Organization,F,29.77,1,Laptop for Home,
Small organization,F,52.29,7,Gaming Laptop,
Big Organization,F,28.96,2,Desktops for Business,
Big Organization,M,27.8,2,Servers for Small Businesses,
Big Organization,M,43.5,6,Servers for Large Businesses,
Big Organization,M,49.7,1,Workstations for Professional Use,
Academic purpose,M,40.08,6,Laptop for Work,
Small Organization,M,47.42,3,Laptop for Home,
Big Organization,M,41.75,8,Gaming Laptop,
Academic purpose,M,28.34,7,Desktops for Business,
Personal Use,M,32.16,1,Servers for Small Businesses,
Small organization,F,35.79,5,Servers for Large Businesses,
Gaming Purpose,F,45.27,8,Workstations for Professional Use,
Gaming Purpose,F,58.2,8,Laptop for Work,
Small Organization,F,50.04,10,Laptop for Home,
Gaming Purpose,M,45.55,7,Gaming Laptop,
Small organization,F,59.62,6,Desktops for Business,
Small Organization,F,33.13,9,Servers for Small Businesses,
Academic purpose,F,35.59,9,Servers for Large Businesses,
Small organization,F,21.44,1,Workstations for Professional Use,
Academic purpose,F,55.6,4,Laptop for Work,
Big Organization,M,41.42,9,Laptop for Home,
Big Organization,F,42.18,8,Gaming Laptop,
Big Organization,F,53.87,2,Desktops for Business,
Gaming Purpose,F,27.79,2,Servers for Small Businesses,
Gaming Purpose,M,34.21,10,Servers for Large Businesses,
Gaming Purpose,M,59.2,8,Workstations for Professional Use,
Small Organization,F,47.37,8,Laptop for Work,
Big Organization,M,53.02,1,Laptop for Home,
Academic purpose,F,40.05,3,Gaming Laptop,
Gaming Purpose,F,31.56,1,Desktops for Business,
Gaming Purpose,F,52.12,10,Servers for Small Businesses,
Academic purpose,F,36.9,7,Servers for Large Businesses,
Small Organization,F,28.37,7,Workstations for Professional Use,
Small organization,M,35.19,6,Laptop for Work,
Big Organization,M,49.43,2,Laptop for Home,
Personal Use,M,45.29,4,Gaming Laptop,
Academic purpose,F,46,2,Desktops for Business,
Personal Use,F,23.53,6,Servers for Small Businesses,
Gaming Purpose,M,49.27,5,Servers for Large Businesses,
Small Organization,M,50.84,9,Workstations for Professional Use,
Big Organization,F,41.66,4,Laptop for Work,
Small Organization,F,42.04,6,Laptop for Home,
Big Organization,F,31.74,3,Gaming Laptop,
Academic purpose,M,30.44,10,Desktops for Business,
Small organization,F,41.46,2,Servers for Small Businesses,
Small Organization,M,52.68,2,Servers for Large Businesses,
Small organization,F,44.58,9,Workstations for Professional Use,
Personal Use,M,23.76,6,Laptop for Work,
Gaming Purpose,F,51.39,9,Laptop for Home,
Big Organization,F,31.44,1,Gaming Laptop,
Gaming Purpose,F,27.67,2,Desktops for Business,
Small organization,M,35.74,1,Servers for Small Businesses,
Gaming Purpose,M,37.85,2,Servers for Large Businesses,
Academic purpose,M,26.82,7,Workstations for Professional Use,
Small Organization,F,27.53,4,Laptop for Work,
Big Organization,F,56.06,6,Laptop for Home,
Small Organization,F,25.11,4,Gaming Laptop,
Big Organization,F,23.35,10,Desktops for Business,
Big Organization,M,21.82,4,Servers for Small Businesses,
Academic purpose,M,39.7,4,Servers for Large Businesses,
Gaming Purpose,M,36.85,7,Workstations for Professional Use,
Academic purpose,F,39.05,10,Laptop for Work,
Small organization,F,55.85,2,Laptop for Home,
Big Organization,F,43.38,3,Gaming Laptop,
Gaming Purpose,M,37.62,4,Desktops for Business,
Personal Use,M,27.98,9,Servers for Small Businesses,
Personal Use,F,28.06,2,Servers for Large Businesses,
Big Organization,M,50.09,1,Workstations for Professional Use,
Academic purpose,M,30.38,4,Laptop for Work,
Small organization,M,55.7,10,Laptop for Home,
Personal Use,F,21.54,5,Gaming Laptop,
Gaming Purpose,F,27.6,10,Desktops for Business,
Gaming Purpose,F,36.97,10,Servers for Small Businesses,
Big Organization,F,45.78,7,Servers for Large Businesses,
Personal Use,M,50.51,2,Workstations for Professional Use,
Personal Use,F,25.94,10,Laptop for Work,
Personal Use,M,39.62,9,Laptop for Home,
Big Organization,F,33.34,4,Gaming Laptop,
Big Organization,M,40.83,7,Desktops for Business,
Small Organization,M,40.89,7,Servers for Small Businesses,
Personal Use,F,39.45,2,Servers for Large Businesses,
Big Organization,M,28.47,6,Workstations for Professional Use,
Academic purpose,F,44.52,5,Laptop for Work,
Small organization,F,33.51,2,Laptop for Home,
Big Organization,F,36.99,5,Gaming Laptop,
Gaming Purpose,M,35.81,7,Desktops for Business,
Small Organization,F,25.21,7,Servers for Small Businesses,
Small Organization,M,27.62,10,Servers for Large Businesses,
Gaming Purpose,F,51.63,6,Workstations for Professional Use,
Gaming Purpose,F,34.99,1,Laptop for Work,
Academic purpose,M,33.71,3,Laptop for Home,
Big Organization,M,51.32,4,Gaming Laptop,
Gaming Purpose,M,24.17,4,Desktops for Business,
Gaming Purpose,M,39.19,7,Servers for Small Businesses,
Academic purpose,M,32.43,8,Servers for Large Businesses,
Small Organization,F,39.46,6,Workstations for Professional Use,
Gaming Purpose,F,31.3,5,Laptop for Work,
Academic purpose,F,36.57,6,Laptop for Home,
Big Organization,F,31.94,1,Gaming Laptop,
Big Organization,F,48.15,1,Desktops for Business,
Gaming Purpose,M,32.08,2,Servers for Small Businesses,
Small Organization,F,48.82,7,Servers for Large Businesses,
Academic purpose,F,32.46,7,Workstations for Professional Use,
Academic purpose,F,40.28,1,Laptop for Work,
Big Organization,F,43.51,3,Laptop for Home,
Small Organization,M,33.64,9,Gaming Laptop,
Personal Use,M,43.33,8,Desktops for Business,
Small Organization,F,22,8,Servers for Small Businesses,
Big Organization,M,42.92,3,Servers for Large Businesses,
Gaming Purpose,F,21.27,5,Workstations for Professional Use,
Academic purpose,F,24.55,4,Laptop for Work,
Personal Use,F,23.24,5,Laptop for Home,
Small organization,F,26.56,3,Gaming Laptop,
Big Organization,M,55.93,1,Desktops for Business,
Personal Use,M,23.24,4,Servers for Small Businesses,
Personal Use,M,39.16,1,Servers for Large Businesses,
Academic purpose,F,29.08,6,Workstations for Professional Use,
Gaming Purpose,F,59.38,3,Laptop for Work,
Gaming Purpose,F,37.18,8,Laptop for Home,
Small organization,M,49.73,2,Gaming Laptop,
Big Organization,M,26,6,Desktops for Business,
Big Organization,M,45.39,9,Servers for Small Businesses,
Big Organization,F,34.28,9,Servers for Large Businesses,
Big Organization,M,39.14,3,Workstations for Professional Use,
Personal Use,M,31.25,4,Laptop for Work,
Academic purpose,F,22.23,1,Laptop for Home,
Small Organization,F,50.1,3,Gaming Laptop,
Big Organization,F,54.39,10,Desktops for Business,
Big Organization,M,38.64,2,Servers for Small Businesses,
Gaming Purpose,F,51.21,8,Servers for Large Businesses,
Academic purpose,F,51.32,4,Workstations for Professional Use,
Gaming Purpose,M,29.71,10,Laptop for Work,
Small Organization,M,41.37,10,Laptop for Home,
Personal Use,F,32.15,8,Gaming Laptop,
Academic purpose,M,33.29,6,Desktops for Business,
Small organization,M,40.12,2,Servers for Small Businesses,
Personal Use,F,51.53,2,Servers for Large Businesses,
Small organization,M,34.87,7,Workstations for Professional Use,
Big Organization,M,39.47,3,Laptop for Work,
Small Organization,F,47.89,9,Laptop for Home,
Small Organization,M,41.6,9,Gaming Laptop,
Gaming Purpose,M,45.73,8,Desktops for Business,
Big Organization,F,24.99,5,Servers for Small Businesses,
Small organization,M,39.07,1,Servers for Large Businesses,
Big Organization,M,41.96,2,Workstations for Professional Use,
Big Organization,F,26.07,1,Laptop for Work,
Academic purpose,F,32.09,1,Laptop for Home,
Academic purpose,F,42.95,3,Gaming Laptop,
Personal Use,F,43.37,1,Desktops for Business,
Small Organization,F,48.79,3,Servers for Small Businesses,
Academic purpose,F,53.68,5,Servers for Large Businesses,
Gaming Purpose,F,34.62,3,Workstations for Professional Use,
Big Organization,F,55.49,5,Laptop for Work,
Big Organization,M,44.77,7,Laptop for Home,
Gaming Purpose,M,52.8,3,Gaming Laptop,
Gaming Purpose,F,32.41,9,Desktops for Business,
Small organization,M,48.36,2,Servers for Small Businesses,
Big Organization,M,56.42,7,Servers for Large Businesses,
Gaming Purpose,F,21.12,5,Workstations for Professional Use,
Small Organization,M,39.43,2,Laptop for Work,
Big Organization,F,49.92,4,Laptop for Home,
Personal Use,F,23.16,6,Gaming Laptop,
Small organization,M,37.45,9,Desktops for Business,
Big Organization,F,24.04,8,Servers for Small Businesses,
Academic purpose,M,48.49,4,Servers for Large Businesses,
Small organization,F,34.95,8,Workstations for Professional Use,
Personal Use,F,53.28,6,Laptop for Work,
Small organization,M,56.38,7,Laptop for Home,
Small organization,M,51.29,1,Gaming Laptop,
Big Organization,F,39.72,6,Desktops for Business,
Small Organization,M,29.17,8,Servers for Small Businesses,
Personal Use,M,54.85,10,Servers for Large Businesses,
Personal Use,M,25.93,2,Workstations for Professional Use,
Small Organization,F,57.96,4,Laptop for Work,
Big Organization,M,32.39,4,Laptop for Home,
Gaming Purpose,F,39.62,8,Gaming Laptop,
Big Organization,M,36.92,5,Desktops for Business,
Personal Use,F,46.15,8,Servers for Small Businesses,
Big Organization,M,22.32,1,Servers for Large Businesses,
Personal Use,F,35.13,2,Workstations for Professional Use,
Gaming Purpose,F,31.12,9,Laptop for Work,
Academic purpose,M,33.28,6,Laptop for Home,
Big Organization,M,25.97,10,Gaming Laptop,
Small Organization,F,50.56,2,Desktops for Business,
Small Organization,F,52.34,8,Servers for Small Businesses,
Gaming Purpose,F,23.39,5,Servers for Large Businesses,
Small Organization,M,40.5,7,Workstations for Professional Use,
